Entry	Gene names	Gene names  (synonym )	Gene names  (ordered locus )	Organism ID
STM4404	cysQ STM4404		STM4404	99287
STM2818	gshA STM2818		STM2818	99287
STM2443	cysU cysT STM2443	cysT	STM2443	99287
STM0388	aroL STM0388		STM0388	99287
STM0608	ahpC STM0608		STM0608	99287
STM0619	citG2 STM0619		STM0619	99287
STM1660	fnr oxrA STM1660	oxrA	STM1660	99287
STM3700	gpsA STM3700		STM3700	99287
STM1194	fabD STM1194		STM1194	99287
STM2681	grpE STM2681		STM2681	99287
STM3111	yggX STM3111		STM3111	99287
STM2935	cysD STM2935		STM2935	99287
STM1240	envF STM1240		STM1240	99287
STM3294	glmM STM3294		STM3294	99287
STM3864	atpC STM3864		STM3864	99287
STM2303	arnF STM2303		STM2303	99287
STM1913	flhA STM1913		STM1913	99287
STM1955	fliZ STM1955		STM1955	99287
STM1177	flgE fla FV flaK STM1177	fla FV flaK	STM1177	99287
STM1135	ghrA STM1135		STM1135	99287
STM0665	gltI STM0665		STM0665	99287
STM3364	aaeB STM3364		STM3364	99287
STM2771	fljB H2 STM2771	H2	STM2771	99287
STM1969	fliF fla AII.1 fla BI STM1969	fla AII.1 fla BI	STM1969	99287
STM1242	envE STM1242		STM1242	99287
STM3616	bcsC STM3616		STM3616	99287
STM2020	cbiO STM2020		STM2020	99287
STM1805	fadR STM1805		STM1805	99287
STM0186	dksA STM0186		STM0186	99287
STM1468	fumA STM1468		STM1468	99287
STM3159	exbB STM3159		STM3159	99287
STM0013	dnaJ STM0013		STM0013	99287
STM2027	cbiH STM2027		STM2027	99287
STM0523	allB STM0523		STM0523	99287
STM1307	astE STM1307		STM1307	99287
STM2332	yfbR STM2332		STM2332	99287
STM1142	csgD STM1142		STM1142	99287
STM2946	cysH STM2946		STM2946	99287
STM1183	flgK flaS flaW STM1183	flaS flaW	STM1183	99287
STM3165	dkgA STM3165		STM3165	99287
STM1925	flhD STM1925		STM1925	99287
STM2391	fadL STM2391		STM2391	99287
STM1739	clsA cls STM1739	cls	STM1739	99287
STM1305	astD STM1305		STM1305	99287
STM1174	flgB fla FII flbA STM1174	fla FII flbA	STM1174	99287
STM4344	epmA genX yjeA STM4344	genX yjeA	STM4344	99287
STM3201	glnE STM3201		STM3201	99287
STM2191	galS STM2191		STM2191	99287
STM2296	ais pagH pmrG STM2296	pagH pmrG	STM2296	99287
STM2030	cbiT STM2030		STM2030	99287
STM0793	bioA STM0793		STM0793	99287
STM0687	chiP STM0687		STM0687	99287
STM3877	asnA STM3877		STM3877	99287
STM1303	astC argM STM1303	argM	STM1303	99287
STM0064	dapB STM0064		STM0064	99287
STM3809	ibpA STM3809		STM3809	99287
STM0110	leuD1 leuD STM0110	leuD	STM0110	99287
STM4247	alr STM4247		STM4247	99287
STM1837	cspC STM1837		STM1837	99287
STM3066	argO STM3066		STM3066	99287
STM3360	argR STM3360		STM3360	99287
STM2388	fadJ STM2388		STM2388	99287
STM0309	fadE fadF yafH STM0309	fadF yafH	STM0309	99287
STM0217	tsf STM0217		STM0217	99287
STM3253	gatY STM3253		STM3253	99287
STM0047	lspA STM0047		STM0047	99287
STM0318	frsA STM0318		STM0318	99287
STM0732	sdhC STM0732		STM0732	99287
STM2933	cysC STM2933		STM2933	99287
STM0630	crcB STM0630		STM0630	99287
STM4119	ppc STM4119		STM4119	99287
STM1388	fumD ydhZ STM1388	ydhZ	STM1388	99287
